-- Вывод scripts/rls/audit-tenant-delete-cascade.sql на боевой базе, 2026-08-26.
-- 83 таблицы, чьи данные переживают удаление арендатора. Свидетельство к ISMS-12 разд. 4 и находке F-24.

 additional_sales            | no FK to organizations
 advisor_playbooks           | no FK to organizations
 advisor_signal_snapshots    | no FK to organizations
 agent_handoffs              | no FK to organizations
 ai_agent_configs            | no FK to organizations
 ai_alerts                   | no FK to organizations
 ai_chat_sessions            | no FK to organizations
 ai_guardrails               | no FK to organizations
 ai_interaction_logs         | no FK to organizations
 ai_pending_actions          | no FK to organizations
 ai_shadow_actions           | no FK to organizations
 applied_templates           | no FK to organizations
 budget_actuals              | no FK to organizations
 budget_change_logs          | no FK to organizations
 budget_direction_templates  | no FK to organizations
 budget_forecast_entries     | no FK to organizations
 budget_lines                | no FK to organizations
 budget_sections             | no FK to organizations
 campaigns                   | no FK to organizations
 channel_configs             | no FK to organizations
 channel_messages            | no FK to organizations
 chatbot_rules               | no FK to organizations
 client_services             | no FK to organizations
 complaint_meta              | no FK to organizations
 compliance_audit_log        | no FK to organizations
 contact_events              | no FK to organizations
 contact_segments            | no FK to organizations
 contract_ai_extractions     | no FK to organizations
 contract_clauses            | no FK to organizations
 contract_deviation_flags    | no FK to organizations
 contract_embeddings         | no FK to organizations
 contract_files              | no FK to organizations
 contract_milestones         | no FK to organizations
 contract_redlines           | no FK to organizations
 contract_risk_scores        | no FK to organizations
 contract_versions           | no FK to organizations
 conversation_flow_runs      | no FK to organizations
 conversation_notes          | no FK to organizations
 conversation_participants   | no FK to organizations
 cost_employees              | no FK to organizations
 cost_model_logs             | no FK to organizations
 cost_model_snapshots        | no FK to organizations
 currencies                  | no FK to organizations
 custom_field_values         | no FK to organizations
 custom_fields               | no FK to organizations
 dashboard_layouts           | no FK to organizations
 email_logs                  | no FK to organizations
 email_templates             | no FK to organizations
 escalation_rules            | no FK to organizations
 events                      | no FK to organizations
 form_submissions            | no FK to organizations
 inbox_customer_stage_events | no FK to organizations
 inbox_folders               | no FK to organizations
 journey_enrollments         | no FK to organizations
 journeys                    | no FK to organizations
 kb_articles                 | no FK to organizations
 kb_categories               | no FK to organizations
 kb_embeddings               | no FK to organizations
 notifications               | no FK to organizations
 otp_codes                   | no FK to organizations
 overhead_costs              | no FK to organizations
 pipeline_stages             | no FK to organizations
 pricing_categories          | no FK to organizations
 pricing_groups              | no FK to organizations
 pricing_parameters          | no FK to organizations
 pricing_profile_categories  | no FK to organizations
 pricing_profiles            | no FK to organizations
 pricing_services            | no FK to organizations
 products                    | no FK to organizations
 project_members             | no FK to organizations
 project_milestones          | no FK to organizations
 project_tasks               | no FK to organizations
 sales_quotas                | no FK to organizations
 scheduled_actions           | no FK to organizations
 sequence_steps              | no FK to organizations
 sla_policies                | no FK to organizations
 stage_validation_rules      | no FK to organizations
 task_attachments            | no FK to organizations
 task_collaborators          | no FK to organizations
 ticket_queues               | no FK to organizations
 tickets                     | no FK to organizations
 whatsapp_templates          | no FK to organizations
 workflow_rules              | no FK to organizations
